YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/04/13	16:41:52.000000	3.976	0.002850	0.003143	1.605	91.339
2015/04/13	16:41:53.000000	3.985	0.002845	0.003149	1.603	91.348
2015/04/13	16:41:54.000000	3.962	0.002838	0.003151	1.609	91.359
2015/04/13	16:41:55.000000	3.971	0.002833	0.003153	1.609	91.362
2015/04/13	16:41:56.000000	3.988	0.002819	0.003159	1.610	91.369
2015/04/13	16:41:57.000000	3.971	0.002814	0.003158	1.614	91.381
2015/04/13	16:41:58.000000	3.994	0.002802	0.003159	1.615	91.374
2015/04/13	16:41:59.000000	3.979	0.002790	0.003161	1.618	91.390
2015/04/13	16:42:00.000000	3.990	0.002788	0.003163	1.622	91.403
2015/04/13	16:42:01.000000	3.980	0.002771	0.003166	1.623	91.405
2015/04/13	16:42:02.000000	4.034	0.002758	0.003172	1.623	91.414
2015/04/13	16:42:03.000000	4.042	0.002750	0.003171	1.622	91.419
2015/04/13	16:42:04.000000	4.068	0.002746	0.003178	1.625	91.429
2015/04/13	16:42:05.000000	4.058	0.002743	0.003178	1.629	91.441
2015/04/13	16:42:06.000000	4.073	0.002729	0.003181	1.631	91.441
2015/04/13	16:42:07.000000	4.038	0.002723	0.003187	1.636	91.460
2015/04/13	16:42:08.000000	4.112	0.002715	0.003188	1.634	91.468
2015/04/13	16:42:09.000000	4.078	0.002708	0.003190	1.637	91.480
2015/04/13	16:42:10.000000	4.101	0.002695	0.003197	1.636	91.485
2015/04/13	16:42:11.000000	4.113	0.002695	0.003196	1.638	91.493
2015/04/13	16:42:12.000000	4.131	0.002681	0.003204	1.638	91.491
2015/04/13	16:42:13.000000	4.124	0.002679	0.003208	1.640	91.502
2015/04/13	16:42:14.000000	4.120	0.002677	0.003213	1.644	91.500
2015/04/13	16:42:15.000000	4.134	0.002668	0.003216	1.648	91.517
2015/04/13	16:42:16.000000	4.118	0.002663	0.003214	1.651	91.515
2015/04/13	16:42:17.000000	4.147	0.002659	0.003210	1.647	91.520
2015/04/13	16:42:18.000000	4.130	0.002656	0.003211	1.652	91.523
2015/04/13	16:42:19.000000	4.152	0.002654	0.003216	1.655	91.534
2015/04/13	16:42:20.000000	4.171	0.002658	0.003221	1.657	91.543
2015/04/13	16:42:21.000000	4.139	0.002651	0.003219	1.660	91.560
2015/04/13	16:42:22.000000	4.158	0.002653	0.003230	1.657	91.566
2015/04/13	16:42:23.000000	4.152	0.002650	0.003231	1.662	91.573
2015/04/13	16:42:24.000000	4.149	0.002650	0.003229	1.665	91.579
2015/04/13	16:42:25.000000	4.168	0.002641	0.003234	1.667	91.593
2015/04/13	16:42:26.000000	4.150	0.002643	0.003246	1.666	91.598
2015/04/13	16:42:27.000000	4.165	0.002643	0.003247	1.670	91.599
2015/04/13	16:42:28.000000	4.177	0.002639	0.003247	1.675	91.604
2015/04/13	16:42:29.000000	4.175	0.002642	0.003248	1.674	91.608
2015/04/13	16:42:30.000000	4.157	0.002644	0.003249	1.676	91.603
2015/04/13	16:42:31.000000	4.152	0.002644	0.003250	1.680	91.613
2015/04/13	16:42:32.000000	4.150	0.002649	0.003248	1.680	91.617
2015/04/13	16:42:33.000000	4.147	0.002652	0.003242	1.681	91.617
2015/04/13	16:42:34.000000	4.178	0.002652	0.003246	1.682	91.614
2015/04/13	16:42:35.000000	4.211	0.002659	0.003250	1.683	91.618
2015/04/13	16:42:36.000000	4.200	0.002663	0.003256	1.688	91.624
2015/04/13	16:42:37.000000	4.191	0.002668	0.003253	1.689	91.625
2015/04/13	16:42:38.000000	4.176	0.002671	0.003255	1.691	91.640
2015/04/13	16:42:39.000000	4.206	0.002679	0.003258	1.690	91.647
2015/04/13	16:42:40.000000	4.192	0.002687	0.003260	1.694	91.646
